text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
p3n1shead,penis,sexual anatomy / sexual acts,1.8,Strong,p3n1shead
shitter,shit,bodily fluids / excrement,1.0,Mild,shitter
shiteblimps,shit,bodily fluids / excrement,1.8,Strong,shiteblimps
dolt,dolt,mental disability,1.0,Mild,dolt
wank off,wank,sexual anatomy / sexual acts,1.0,Mild,wank
pole sucker,pole sucker,sexual anatomy / sexual acts,1.8,Strong,polesucker
injun,injun,racial / ethnic slurs,2.4,Strong,injun
knobeads,knob,sexual anatomy / sexual acts,1.4,Mild,knobeads
n0bj0cky,knob,sexual anatomy / sexual acts,2.4,Strong,n0bj0cky
@sshole,ass,sexual anatomy / sexual acts,1.6,Strong,@sshole
n1ggers,nigger,racial / ethnic slurs,3.0,Severe,n1ggers
bum-driller,bum,sexual anatomy / sexual acts,2.8,Severe,bum-driller
kkk,kkk,other / general insult,1.8,Strong,kkk
fudgepacker,fudge packer,sexual orientation / gender,2.4,Strong,fudgepacker
motha fucker,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mothafucker
mutherfucker,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mutherfucker
fucked up,fuck,sexual anatomy / sexual acts,2.2,Strong,fucked
dumbass,ass,mental disability,1.4,Mild,dumbass
jerk off,jerk off,sexual anatomy / sexual acts,1.0,Mild,jerk
mf'ers,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mf'ers
